"speciesid","speciesname","taxon","conservation_status","listed"
"48631","Hylastes longicollis","Invertebrates","UNK",0
"48632","Hylastes macer","Invertebrates","UNK",0
"48633","Hylastes nigrinus","Invertebrates","5",0
"48634","Hylastes ruber","Invertebrates","UNK",0
"48600","Alniphagus aspericollis","Invertebrates","5",0
"48635","Hylesinus californicus","Invertebrates","UNK",0
"48708","Xylechinus montanus","Invertebrates","5",0
"48711","Pseudohylesinus granulatus","Invertebrates","5",0
"48688","Pseudohylesinus nebulosus","Invertebrates","5",0
"48614","Dendroctonus brevicomis","Invertebrates","5",0
"48615","Dendroctonus pseudotsugae","Invertebrates","5",0
"48669","Phloeotribus lecontei","Invertebrates","UNK",0
"48666","Phloeosinus hoferi","Invertebrates","UNK",0
"48667","Phloeosinus pini","Invertebrates","5",0
"48668","Phloeosinus punctatus","Invertebrates","5",0
"48608","Chaetophloeus heterodoxus","Invertebrates","UNK",0
"48710","Carphoborus carri","Invertebrates","UNK",0
"48605","Carphoborus pinicolens","Invertebrates","UNK",0
"48606","Carphoborus ponderosae","Invertebrates","UNK",0
"48691","Scolytus laricis","Invertebrates","UNK",0
"48692","Scolytus monticolae","Invertebrates","UNK",0
"48693","Scolytus opacus","Invertebrates","UNK",0
"48694","Scolytus subscaber","Invertebrates","UNK",0
"48695","Scolytus tsugae","Invertebrates","UNK",0
"48696","Scolytus unispinosus","Invertebrates","UNK",0
"48697","Scolytus ventralis","Invertebrates","UNK",0
"48618","Dryocoetes confusus","Invertebrates","5",0
"48619","Dryocoetes sechelti","Invertebrates","UNK",0
"48670","Pityogenes knechteli","Invertebrates","UNK",0
"48671","Pityokteines lasiocarpi","Invertebrates","UNK",0
"48672","Pityokteines minutus","Invertebrates","UNK",0
"48673","Pityokteines ornatus","Invertebrates","UNK",0
"48639","Ips emarginatus","Invertebrates","UNK",0
"48640","Ips integer","Invertebrates","5",0
"48641","Ips mexicanus","Invertebrates","UNK",0
"48642","Ips montanus","Invertebrates","UNK",0
"48643","Ips pilifrons","Invertebrates","UNK",0
"48644","Ips plastographus","Invertebrates","UNK",0
"48645","Ips tridens","Invertebrates","5",0
"48646","Ips woodi","Invertebrates","UNK",0
"48707","Xyleborus intrusus","Invertebrates","UNK",0
"48703","Trypophloeus populi","Invertebrates","UNK",0
"48687","Procryphalus mucronatus","Invertebrates","UNK",0
"48674","Pityophthorus absonus","Invertebrates","UNK",0
"48675","Pityophthorus alpinensis","Invertebrates","UNK",0
"48676","Pityophthorus aquilus","Invertebrates","UNK",0
"48677","Pityophthorus boycei","Invertebrates","UNK",0
"48678","Pityophthorus confertus","Invertebrates","UNK",0
"48679","Pityophthorus confinis","Invertebrates","UNK",0
"48680","Pityophthorus digestus","Invertebrates","UNK",0
"48681","Pityophthorus fuscus","Invertebrates","UNK",0
"48682","Pityophthorus pseudotsugae","Invertebrates","UNK",0
"48684","Pityophthorus tuberculatus","Invertebrates","UNK",0
"48683","Pityophthorus scalptus","Invertebrates","UNK",0
"48625","Gnathotrichus denticulatus","Invertebrates","UNK",0
"48626","Gnathotrichus retusus","Invertebrates","5",0
"48658","Oreoleptis torrenticola","Invertebrates","UNK",0
"48709","Zavrelia pentatoma","Invertebrates","UNK",0
"48706","Tvetenia vitracies","Invertebrates","UNK",0
"48705","Tvetenia bavarica","Invertebrates","UNK",0
"48704","Tubifex tubifex","Invertebrates","UNK",0
"48702","Trichocorixa borealis","Invertebrates","UNK",0
"48701","Tribelos jucundus","Invertebrates","UNK",0
"48699","Sialis velata","Invertebrates","UNK",0
"48686","Potthastia gaedii","Invertebrates","UNK",0
"48685","Polycelis coronata","Invertebrates","UNK",0
"48664","Paralauterborniella nigrohalteralis","Invertebrates","UNK",0
"48661","Orthocladius annectens","Invertebrates","UNK",0
"48662","Orthocladius lignicola","Invertebrates","UNK",0
"48652","Nais behningi","Invertebrates","UNK",0
"48650","Limnodrilus hoffmeisteri","Invertebrates","UNK",0
"48629","Heterotrissocladius marcidus","Invertebrates","UNK",0
"48624","Eukiefferiella pseudomontana","Invertebrates","UNK",0
